"layer_from","node_from","layer_to","node_to","weight"
1,3,1,72,0.027027027027027
1,3,1,82,0.0135135135135135
1,3,1,104,0.0540540540540541
1,3,1,170,0.148648648648649
1,3,1,194,0.0540540540540541
1,3,1,242,0.027027027027027
1,8,1,51,0.0087719298245614
1,8,1,113,0.0087719298245614
1,8,1,170,0.0087719298245614
1,8,1,189,0.0087719298245614
1,8,1,216,0.0526315789473684
1,8,1,244,0.263157894736842
1,8,1,258,0.210526315789474
1,9,1,49,0.00476190476190476
1,9,1,65,0.00476190476190476
1,9,1,113,0.00476190476190476
1,9,1,119,0.00476190476190476
1,9,1,160,0.00476190476190476
1,9,1,170,0.0857142857142857
1,9,1,171,0.0714285714285714
1,9,1,187,0.00952380952380952
1,9,1,189,0.00952380952380952
1,9,1,216,0.00476190476190476
1,9,1,230,0.00476190476190476
1,9,1,232,0.019047619047619
1,9,1,242,0.138095238095238
1,9,1,258,0.0714285714285714
1,9,1,273,0.119047619047619
1,9,1,286,0.00476190476190476
1,14,1,258,1
1,15,1,216,0.166666666666667
1,17,1,54,0.0483870967741935
1,17,1,113,0.112903225806452
1,17,1,198,0.0161290322580645
1,17,1,225,0.0161290322580645
1,17,1,271,0.0483870967741935
1,17,1,284,0.0645161290322581
1,17,1,287,0.0645161290322581
1,24,1,99,0.0714285714285714
1,24,1,100,0.0714285714285714
1,24,1,170,0.0714285714285714
1,24,1,261,0.357142857142857
1,24,1,262,0.428571428571429
1,26,1,45,0.0571428571428571
1,26,1,51,0.0285714285714286
1,26,1,58,0.0285714285714286
1,28,1,51,0.0833333333333333
1,28,1,194,0.333333333333333
1,28,1,216,0.0833333333333333
1,28,1,242,0.333333333333333
1,39,1,45,0.125
1,39,1,86,0.125
1,39,1,100,0.125
1,39,1,161,0.125
1,39,1,180,0.125
1,39,1,216,0.125
1,39,1,271,0.125
1,2,1,258,1
1,3,1,61,0.0135135135135135
1,3,1,113,0.0135135135135135
1,3,1,170,0.0135135135135135
1,3,1,194,0.540540540540541
1,3,1,221,0.0135135135135135
1,3,1,222,0.0405405405405405
1,3,1,230,0.0135135135135135
1,3,1,231,0.0135135135135135
1,3,1,262,0.0135135135135135
1,8,1,82,0.0175438596491228
1,8,1,117,0.0087719298245614
1,8,1,170,0.0263157894736842
1,8,1,216,0.087719298245614
1,8,1,244,0.114035087719298
1,8,1,258,0.184210526315789
1,9,1,49,0.00476190476190476
1,9,1,86,0.00476190476190476
1,9,1,101,0.00476190476190476
1,9,1,113,0.00476190476190476
1,9,1,147,0.00952380952380952
1,9,1,160,0.00476190476190476
1,9,1,164,0.00476190476190476
1,9,1,170,0.0238095238095238
1,9,1,187,0.00952380952380952
1,9,1,188,0.00952380952380952
1,9,1,189,0.0285714285714286
1,9,1,212,0.00476190476190476
1,9,1,216,0.00476190476190476
1,9,1,221,0.00952380952380952
1,9,1,232,0.00952380952380952
1,9,1,237,0.0333333333333333
1,9,1,242,0.166666666666667
1,9,1,256,0.00476190476190476
1,9,1,258,0.00476190476190476
1,9,1,267,0.019047619047619
1,9,1,273,0.0571428571428571
1,9,1,284,0.0142857142857143
1,12,1,45,0.75
1,12,1,281,0.25
1,15,1,45,0.166666666666667
1,15,1,72,0.166666666666667
1,15,1,116,0.166666666666667
1,15,1,164,0.166666666666667
1,15,1,258,0.166666666666667
1,17,1,54,0.112903225806452
1,17,1,63,0.032258064516129
1,17,1,72,0.0161290322580645
1,17,1,160,0.0806451612903226
1,17,1,164,0.0967741935483871
1,17,1,194,0.0161290322580645
1,17,1,206,0.0483870967741935
1,17,1,242,0.0161290322580645
1,17,1,250,0.0483870967741935
1,17,1,259,0.0967741935483871
1,17,1,284,0.0161290322580645
1,17,1,285,0.0483870967741935
1,26,1,45,0.0857142857142857
1,26,1,57,0.0285714285714286
1,26,1,116,0.285714285714286
1,26,1,164,0.0285714285714286
1,26,1,194,0.0857142857142857
1,26,1,196,0.257142857142857
1,26,1,244,0.0285714285714286
1,26,1,258,0.0857142857142857
1,28,1,86,0.0833333333333333
1,28,1,172,0.0833333333333333
1,39,1,258,0.125
2,8,2,66,0.00746268656716418
2,8,2,81,0.0298507462686567
2,8,2,111,0.00746268656716418
2,8,2,188,0.00746268656716418
2,8,2,216,0.335820895522388
2,9,2,59,0.0315457413249211
2,9,2,77,0.0157728706624606
2,9,2,81,0.0315457413249211
2,9,2,93,0.00315457413249211
2,9,2,106,0.00315457413249211
2,9,2,170,0.0126182965299685
2,9,2,183,0.00315457413249211
2,9,2,197,0.00315457413249211
2,9,2,214,0.00315457413249211
2,9,2,216,0.167192429022082
2,9,2,235,0.056782334384858
2,9,2,240,0.00315457413249211
2,9,2,242,0.0189274447949527
2,9,2,257,0.00315457413249211
2,9,2,274,0.0662460567823344
2,14,2,131,0.0769230769230769
2,14,2,234,0.153846153846154
2,14,2,275,0.461538461538462
2,17,2,50,0.021978021978022
2,17,2,55,0.010989010989011
2,17,2,59,0.010989010989011
2,17,2,71,0.010989010989011
2,17,2,77,0.032967032967033
2,17,2,81,0.043956043956044
2,17,2,89,0.021978021978022
2,17,2,91,0.021978021978022
2,17,2,95,0.010989010989011
2,17,2,125,0.0659340659340659
2,17,2,131,0.010989010989011
2,17,2,146,0.010989010989011
2,17,2,163,0.010989010989011
2,17,2,170,0.0659340659340659
2,17,2,206,0.010989010989011
2,17,2,216,0.131868131868132
2,17,2,223,0.010989010989011
2,17,2,225,0.0769230769230769
2,17,2,236,0.010989010989011
2,17,2,242,0.032967032967033
2,17,2,275,0.021978021978022
2,17,2,284,0.021978021978022
2,26,2,55,0.192307692307692
2,26,2,91,0.0384615384615385
2,26,2,92,0.0384615384615385
2,26,2,274,0.0384615384615385
2,26,2,275,0.0384615384615385
2,26,2,277,0.0384615384615385
2,32,2,264,0.166666666666667
2,36,2,55,0.25
2,36,2,101,0.25
2,36,2,234,0.5
2,8,2,59,0.00746268656716418
2,8,2,81,0.0149253731343284
2,8,2,84,0.0298507462686567
2,8,2,111,0.0149253731343284
2,8,2,131,0.00746268656716418
2,8,2,216,0.462686567164179
2,8,2,234,0.00746268656716418
2,8,2,235,0.00746268656716418
2,8,2,242,0.0597014925373134
2,9,2,50,0.00630914826498423
2,9,2,59,0.00315457413249211
2,9,2,69,0.00946372239747634
2,9,2,77,0.028391167192429
2,9,2,81,0.0252365930599369
2,9,2,122,0.00946372239747634
2,9,2,170,0.00946372239747634
2,9,2,210,0.00315457413249211
2,9,2,216,0.28391167192429
2,9,2,219,0.00315457413249211
2,9,2,229,0.00630914826498423
2,9,2,234,0.00946372239747634
2,9,2,242,0.00630914826498423
2,9,2,263,0.00315457413249211
2,9,2,264,0.00315457413249211
2,9,2,274,0.167192429022082
2,14,2,145,0.0769230769230769
2,14,2,275,0.230769230769231
2,15,2,155,0.25
2,15,2,201,0.25
2,15,2,275,0.5
2,17,2,48,0.021978021978022
2,17,2,55,0.021978021978022
2,17,2,74,0.010989010989011
